aX,aY,aZ,gX,gY,gZ
0.215,0.614,0.025,-289.856,40.771,41.687
0.206,0.610,-0.075,-303.650,37.903,41.138
0.116,0.630,-0.195,-308.655,51.208,49.377
0.085,0.624,-0.226,-308.411,57.800,49.072
0.107,0.558,-0.299,-320.557,42.664,34.546
0.129,0.496,-0.346,-330.261,32.043,29.785
0.139,0.443,-0.411,-340.942,36.438,35.950
0.083,0.391,-0.571,-335.693,48.401,41.382
0.032,0.372,-0.634,-320.801,69.946,43.518
-0.042,0.296,-0.824,-325.439,77.576,38.574
-0.056,0.264,-0.980,-335.327,100.281,25.330
-0.062,0.225,-1.274,-318.909,105.347,20.447
-0.046,0.208,-1.341,-251.282,74.402,21.057
-0.010,0.149,-1.319,-222.473,37.842,28.259
-0.047,0.128,-1.285,-189.758,-24.841,39.063
-0.153,0.140,-1.247,-178.772,-31.677,35.339
-0.156,0.147,-1.248,-161.377,-12.390,16.296
-0.071,0.165,-1.271,-153.076,-8.179,9.705
-0.020,0.167,-1.254,-130.005,-24.231,11.353
-0.031,0.142,-1.186,-116.699,-35.583,12.268
-0.044,0.138,-1.148,-100.586,-23.621,4.333
-0.038,0.137,-1.189,-98.328,-4.089,-3.357
0.004,0.158,-1.214,-91.980,33.569,-12.390
0.118,0.150,-1.207,-86.609,29.907,-11.108
0.156,0.151,-1.175,-74.402,-20.752,-3.723
0.158,0.152,-1.021,-67.749,-44.312,2.441
0.109,0.121,-0.952,-63.660,-49.072,10.498
0.031,0.080,-1.079,-66.467,-19.714,7.690
0.075,0.066,-1.235,-60.181,44.739,-2.808
0.171,0.028,-1.368,-52.002,47.058,-4.700
0.177,0.011,-1.395,-30.945,5.066,5.615
-0.031,0.044,-1.779,-2.869,-16.907,15.625
-0.152,-0.062,-1.786,46.875,-88.257,11.658
-0.013,0.053,-0.948,13.977,-79.224,0.061
0.075,0.184,-0.897,-14.893,27.527,-4.761
0.207,0.163,-1.059,-7.874,43.152,-7.629
0.226,0.117,-1.049,5.310,-5.310,-1.221
0.097,0.129,-0.927,8.057,-25.146,3.723
0.045,0.149,-0.892,3.784,-18.677,2.869
0.070,0.139,-0.932,0.244,-4.089,-0.122
0.103,0.118,-0.981,-3.662,6.897,-1.221
0.108,0.099,-1.031,-1.831,1.831,-0.732
0.093,0.091,-1.016,1.953,-5.432,-1.038
0.071,0.092,-1.006,2.319,-4.700,-1.282
0.075,0.095,-1.005,3.784,-3.174,-2.014
0.079,0.090,-0.983,4.333,-2.808,-1.953
0.074,0.090,-0.984,3.174,0.488,-0.305
0.078,0.097,-0.995,2.808,1.587,0.366
0.079,0.103,-0.996,1.770,-0.671,0.916
0.068,0.114,-0.987,1.221,-1.465,0.854
0.067,0.110,-0.981,0.793,1.465,0.916
0.063,0.112,-0.996,0.549,2.808,1.526
0.060,0.117,-1.002,0.610,2.258,1.892
0.061,0.116,-0.994,2.136,-1.038,0.671
0.072,0.112,-0.978,2.075,-0.366,0.183
0.082,0.111,-0.985,0.427,3.235,0.122
0.108,0.104,-1.001,-0.122,3.357,0.000
0.100,0.105,-1.005,-0.610,2.625,0.671
0.064,0.114,-1.021,-0.244,3.967,1.831
0.068,0.102,-1.016,1.099,1.526,-0.122
0.074,0.095,-0.979,0.854,0.977,-0.244
0.063,0.098,-0.987,-0.183,5.005,2.502
0.046,0.108,-1.012,0.122,4.272,0.854
0.061,0.105,-0.991,3.174,-1.160,-1.038
0.079,0.083,-0.961,3.357,-3.540,-0.061
0.075,0.091,-0.993,1.038,-1.282,0.916
0.083,0.103,-1.024,1.221,-1.282,-0.122
0.087,0.106,-1.002,2.808,-4.578,-1.892
0.093,0.094,-0.959,3.479,-4.761,-2.075
0.088,0.094,-0.974,2.075,-2.319,0.427
0.074,0.116,-1.014,2.258,-2.258,0.732
0.079,0.112,-1.003,2.502,-5.981,-0.610
0.076,0.113,-1.004,2.380,-5.005,-0.366
0.075,0.116,-1.008,2.686,-2.014,-0.183
0.087,0.112,-1.000,2.625,-1.465,-0.977
0.083,0.114,-0.996,2.686,-3.052,-0.427
0.076,0.116,-0.993,3.113,-4.272,0.549
0.072,0.122,-0.985,3.052,-5.981,-0.549
0.078,0.115,-0.974,2.563,-3.174,-0.244
0.092,0.121,-0.986,1.770,1.343,0.488
0.099,0.125,-1.001,1.099,2.625,0.305
0.084,0.119,-1.003,0.854,0.793,0.183
0.073,0.120,-1.001,0.366,0.549,0.000
0.075,0.120,-0.995,0.549,0.122,-0.732
0.087,0.114,-0.987,0.122,-1.831,-0.854
0.088,0.121,-0.993,-0.549,-1.282,-0.183
0.087,0.121,-0.994,0.366,0.549,-0.610
0.093,0.115,-0.984,0.854,0.366,-0.732
0.090,0.119,-0.982,0.854,-0.732,-0.427
0.082,0.119,-0.978,1.099,-1.160,-0.732

-0.024,-0.420,2.229,143.555,-68.054,-70.740
0.020,-0.393,2.260,42.480,-23.071,-47.180
0.104,-0.196,1.923,-9.155,-2.808,-31.799
0.189,0.044,1.483,-88.013,21.912,-8.179
0.231,0.148,1.297,-139.648,32.471,3.662
0.290,0.298,1.012,-154.297,36.316,6.226
0.313,0.357,0.933,-170.410,32.410,8.301
0.337,0.421,0.878,-178.650,28.076,9.277
0.344,0.417,0.884,-212.524,13.428,8.362
0.418,0.363,0.829,-240.234,-0.366,3.723
0.494,0.326,0.707,-280.090,-28.381,3.601
0.557,0.355,0.552,-273.743,-30.701,16.663
0.504,0.398,0.605,-260.925,-14.465,41.382
0.365,0.402,0.669,-280.640,-16.296,40.161
0.321,0.379,0.638,-342.529,-48.279,14.954
0.348,0.293,0.471,-368.164,-62.317,1.282
0.427,0.197,0.329,-384.338,-65.186,-4.822
0.430,0.102,0.244,-371.521,-31.494,33.630
0.309,0.133,0.286,-363.953,-5.554,62.378
0.137,0.104,0.213,-412.170,2.808,68.176
0.100,0.056,0.091,-448.730,-5.493,53.833
0.062,0.009,-0.074,-489.990,44.250,32.104
-0.024,-0.070,-0.511,-489.807,112.610,30.212
-0.069,-0.101,-0.745,-462.402,249.512,42.480
-0.098,-0.147,-1.267,-448.669,267.029,51.025
-0.044,-0.127,-1.555,-413.025,160.583,58.044
0.016,-0.111,-1.899,-372.620,82.886,55.847
-0.018,-0.176,-1.964,-285.828,4.517,45.959
-0.062,-0.178,-2.101,-256.104,-1.770,38.574
-0.042,-0.133,-2.179,-195.129,-0.916,16.113
-0.007,-0.042,-2.081,-159.241,13.733,9.644
-0.005,0.006,-1.963,-108.398,-4.883,8.911
-0.033,0.117,-1.735,-95.337,-38.391,8.728
-0.042,0.185,-1.566,-68.359,-66.223,7.080
-0.002,0.283,-1.181,-59.021,-66.833,7.080
0.025,0.296,-1.019,-53.528,-62.622,10.742
0.007,0.294,-0.842,-57.251,-47.363,10.498
-0.010,0.282,-0.855,-75.745,13.489,3.174
0.014,0.236,-1.019,-84.412,38.330,-0.732
0.052,0.210,-1.097,-89.966,38.574,-4.822
0.133,0.121,-1.141,-88.806,20.752,-3.113
0.147,0.086,-1.150,-87.524,-16.907,7.263
0.084,0.094,-1.246,-78.247,-24.170,11.292
0.054,0.139,-1.316,-41.321,-8.118,7.324
