aX,aY,aZ,gX,gY,gZ
0.302,-0.218,0.937,0.488,2.502,0.366
0.294,-0.214,0.932,-0.610,0.488,0.244
0.294,-0.223,0.935,0.366,1.404,0.122
0.303,-0.227,0.941,-1.160,1.038,1.343
0.285,-0.215,0.929,-2.625,0.671,2.625
0.268,-0.206,0.919,0.977,5.188,2.930
0.272,-0.208,0.925,2.808,5.798,1.648
0.282,-0.211,0.927,-1.038,-1.282,0.000
0.274,-0.204,0.916,-1.404,-2.502,0.061
0.263,-0.201,0.918,4.700,2.930,-0.977
0.276,-0.215,0.932,5.371,2.747,-2.991
0.294,-0.227,0.932,0.183,-4.028,-5.066
0.310,-0.239,0.931,-0.244,-3.357,-3.540
0.310,-0.241,0.931,2.563,3.967,0.488
0.313,-0.237,0.931,1.831,3.967,1.343
0.314,-0.234,0.928,-1.709,-0.488,1.709
0.301,-0.225,0.923,-0.732,0.610,2.136
0.293,-0.223,0.926,2.991,5.676,2.625
0.301,-0.228,0.937,1.892,4.395,2.258
0.302,-0.227,0.937,-3.113,-1.648,2.869
0.280,-0.213,0.933,-2.563,-0.488,3.601
0.265,-0.204,0.932,2.136,5.798,2.686
0.267,-0.210,0.935,2.747,5.859,0.671
0.282,-0.219,0.936,-2.014,-1.404,-0.977
0.297,-0.226,0.934,-3.296,-3.113,-0.366
0.299,-0.230,0.939,-0.732,0.488,0.122
0.306,-0.233,0.949,-0.793,0.854,0.244
0.308,-0.231,0.948,-3.296,-1.831,0.977
0.302,-0.223,0.938,-2.808,-0.732,1.160
0.300,-0.224,0.932,0.000,3.540,0.854
0.307,-0.223,0.922,-0.916,2.319,0.854
0.310,-0.221,0.916,-2.991,-0.793,1.160
0.310,-0.218,0.920,-3.052,-1.953,2.197
0.306,-0.214,0.924,-1.648,0.366,3.113
0.296,-0.210,0.923,-0.916,2.197,4.150
0.281,-0.207,0.920,-0.977,1.221,3.357
0.282,-0.210,0.924,-0.610,0.061,1.343
0.289,-0.215,0.930,-0.793,-0.061,1.099
0.292,-0.216,0.930,-1.587,-0.427,1.160
0.295,-0.215,0.933,-2.075,-0.488,1.404
0.293,-0.212,0.932,-2.563,0.671,1.953
0.289,-0.208,0.922,-2.197,1.343,1.648
0.291,-0.209,0.920,-1.282,0.793,0.366
0.303,-0.216,0.926,-1.282,-0.122,0.183
0.308,-0.217,0.929,-1.526,-0.366,1.282
0.301,-0.211,0.927,-1.038,0.488,1.770

0.267,0.891,1.545,15.320,-26.428,-1.038
0.125,1.131,1.578,30.945,-20.264,-18.433
0.094,1.154,1.526,40.771,-11.047,-35.645
0.093,1.089,1.343,63.416,3.052,-82.703
0.121,1.046,1.246,88.684,16.174,-128.906
0.118,0.858,1.034,98.511,22.461,-150.146
0.020,0.632,0.892,110.535,24.841,-194.702
-0.282,-0.032,0.522,114.197,22.766,-217.773
-0.349,-0.414,0.347,104.492,10.071,-236.816
-0.258,-1.121,0.172,81.665,-9.521,-212.646
-0.266,-1.414,0.116,32.104,-34.058,-111.328
-0.597,-1.958,-0.038,29.541,-8.484,-70.557
-0.773,-2.221,-0.088,64.453,84.351,-81.726
-0.521,-2.761,-0.086,78.491,107.056,-132.507
-0.014,-3.054,-0.037,78.186,47.241,-218.628
0.975,-3.296,0.232,61.951,2.991,-195.496
1.053,-3.092,0.367,-2.991,27.710,33.203
0.146,-2.297,0.288,-40.710,81.238,178.467
-0.449,-1.914,0.113,-103.088,128.052,307.007
-0.904,-1.238,-0.130,-126.648,91.736,273.743
-0.790,-0.924,-0.113,-155.579,-41.199,152.588
-0.346,-0.460,0.131,-150.146,-85.937,111.023
-0.158,-0.327,0.311,-99.426,-75.745,91.980
0.097,-0.120,0.665,-75.134,-40.100,107.544
0.170,0.029,0.793,-60.425,18.860,145.569
0.225,0.261,0.879,-65.125,25.879,150.879
0.205,0.297,0.852,-66.650,1.770,120.300
0.215,0.195,0.847,-53.955,-20.874,94.604
0.222,0.126,0.942,-10.925,-57.739,62.256
0.180,0.110,1.230,8.667,-57.556,56.396
0.141,0.156,1.354,19.897,-23.010,50.232
0.090,0.236,1.354,9.766,-4.761,46.143
0.097,0.277,1.264,-14.465,5.920,34.180
0.159,0.376,1.075,-19.775,3.357,29.053
0.190,0.408,1.019,-18.555,1.953,25.391
0.213,0.402,0.978,0.244,8.118,15.503
0.237,0.361,0.997,11.292,10.437,8.728
0.262,0.304,1.035,14.709,-1.648,2.319
0.280,0.197,1.108,8.057,-9.216,1.221
0.286,0.155,1.111,-1.038,-7.385,-3.906
0.302,0.088,1.078,1.770,-0.610,-7.019
0.297,0.060,1.066,8.667,7.996,-11.475
0.294,-0.024,1.026,6.470,6.409,-13.916
0.303,-0.070,1.002,-1.160,-1.099,-17.029
0.330,-0.138,0.974,-3.540,-1.709,-16.174
0.342,-0.162,0.956,-5.188,4.089,-12.756
0.357,-0.207,0.912,-5.127,7.568,-11.597
0.370,-0.222,0.897,-4.272,11.353,-9.827
0.403,-0.256,0.869,-4.395,10.925,-7.935
0.417,-0.271,0.861,-4.211,7.812,-3.845
0.446,-0.285,0.872,-3.357,6.165,-2.502
0.453,-0.278,0.887,-1.282,4.211,4.333
0.423,-0.242,0.928,-0.793,4.456,9.949
